19-02-2021 19:13:27: Start!
Date Time Episode Position Velocity Control 
19-02-2021 19:13:28: 0 -2.389196686160118 0.6833899045172641 3.0
19-02-2021 19:13:30: 1 -2.389196686160118 0.6833899045172641 3.0
19-02-2021 19:13:30: 2 -2.389196686160118 0.6833899045172641 3.0
19-02-2021 19:13:35: 3 -2.1847350369172176 0.8173853070447097 -3.0
19-02-2021 19:13:41: 4 1.8923218589749418 -0.9487544323044836 -3.0
19-02-2021 19:13:47: 5 -3.0086486498216125 0.1325527385749664 -3.0
19-02-2021 19:13:52: 6 2.8119801813092415 -0.32367638644013225 -3.0
19-02-2021 19:13:58: 7 -2.432720899428471 0.6509777377000998 3.0
19-02-2021 19:14:04: 8 0.9473171730849437 -0.811852024311159 0.9989102702269346
19-02-2021 19:14:10: 9 1.6724014151127342 -0.9948426421774683 3.0
19-02-2021 19:14:15: 10 1.0792180008498384 -0.8815889588736991 3.0
19-02-2021 19:14:23: 11 1.3675104619969964 -0.9794084876161463 -3.0
19-02-2021 19:14:29: 12 1.0233596607903443 -0.853861541703274 3.0
19-02-2021 19:14:35: 13 -1.0935586989935864 0.8882671429194406 3.0
19-02-2021 19:14:41: 14 -2.449751119275364 0.6379563780930817 -3.0
19-02-2021 19:14:47: 15 2.22696557294125 -0.7923351290638305 -3.0
19-02-2021 19:14:53: 16 2.725949605155604 -0.40377831110027496 -3.0
19-02-2021 19:14:59: 17 -0.5616333840324401 0.5325693816880609 2.4209245452424377
19-02-2021 19:15:05: 18 -2.3514872992168243 0.7104274216570695 3.0
19-02-2021 19:15:11: 19 -2.389196686160118 0.6833899045172641 3.0
19-02-2021 19:15:17: 20 -2.3576925449356434 0.7060467034821125 3.0
19-02-2021 19:15:25: 21 -2.389196686160118 0.6833899045172641 3.0
19-02-2021 19:15:31: 22 -2.3507335111440266 0.7109577135641453 3.0
19-02-2021 19:15:37: 23 -2.389196686160118 0.6833899045172641 3.0
19-02-2021 19:15:44: 24 -2.389196686160118 0.6833899045172641 3.0
19-02-2021 19:15:50: 25 -2.3242720492834668 0.7293152668437894 3.0
19-02-2021 19:15:56: 26 -2.328091924332334 0.7266964786739561 3.0
19-02-2021 19:16:02: 27 -2.3122500768938803 0.7374875326209321 3.0
19-02-2021 19:16:09: 28 -2.3122500768938803 0.7374875326209321 3.0
19-02-2021 19:16:15: 29 -2.321040457224772 0.7315224383077634 3.0
19-02-2021 19:16:21: 30 -2.317859667631444 0.7336874516793738 3.0
19-02-2021 19:16:29: 31 -2.3283694591231683 0.7265057957557657 3.0
19-02-2021 19:16:36: 32 -2.299233158278743 0.7462159211230787 3.0
19-02-2021 19:16:43: 33 -2.299282641068312 0.746182979319188 3.0
19-02-2021 19:16:50: 34 -2.300488853485561 0.745379411730877 3.0
19-02-2021 19:16:57: 35 -2.3350239936210375 0.7219170115297989 3.0
19-02-2021 19:17:04: 36 -2.310947271778983 0.7383667699391069 3.0
19-02-2021 19:17:10: 37 -2.322154368547567 0.7307625005434907 3.0
19-02-2021 19:17:17: 38 -2.3046316459656087 0.7426112700905279 3.0
19-02-2021 19:17:23: 39 -2.3407240133121974 0.7179610076973707 3.0
19-02-2021 19:17:30: 40 -2.3116180142788787 0.7379142555583363 3.0
19-02-2021 19:17:38: 41 -2.3293666648587923 0.7258201944143396 3.0
